group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
Z1,MAINTENANCE OF HOSPITALS AND INFIRMARIES,Z1DA,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF LABORATORIES AND CLINICS,Z1DB,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF OTHER HOSPITAL BUILDINGS,Z1DZ,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF AMMUNITION FACILITIES,Z1EA,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF MAINTENANCE BUILDINGS,Z1EB,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF PRODUCTION BUILDINGS,Z1EC,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF SHIP CONSTRUCTION AND REPAIR FACILITIES,Z1ED,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF TANK AUTOMOTIVE FACILITIES,Z1EE,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF OTHER INDUSTRIAL BUILDINGS,Z1EZ,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF FAMILY HOUSING FACILITIES,Z1FA,4,Facilities & Construction,4.4,Facility Related Services
Z1,MAINTENANCE OF RECREATIONAL BUILDINGS,Z1FB,4,Facilities & Construction,4.4,Facility Related Services
